parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.6.3.weight,0.9,37.40599999999999,61.56399999999999,3.1494441538839406,0.07000000000000339,0.43999999999999595,23.085525392189442,0.2678973972797394
module.basic_model.model.7.0.weight,0.0,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2599999999999953,28.748209911817472,0.34114381670951843
module.basic_model.model.7.0.weight,0.05,69.57,89.072,1.2836479661331996,0.20200000000000218,2.2560000000000024,28.75727881335788,0.34114381670951843
module.basic_model.model.7.0.weight,0.1,69.57,89.072,1.2836479661331996,0.20000000000000018,2.2700000000000053,28.75895985837025,0.34114381670951843
module.basic_model.model.7.0.weight,0.15000000000000002,69.576,89.072,1.283638419474993,0.20000000000000018,2.2760000000000002,28.762371913180203,0.34114381670951843
module.basic_model.model.7.0.weight,0.2,69.594,89.038,1.2841444799935136,0.20000000000000018,2.2680000000000033,28.792378943620882,0.34114381670951843
module.basic_model.model.7.0.weight,0.25,69.508,88.964,1.2879498965146818,0.20599999999999508,2.2660000000000013,28.779709838554826,0.34114381670951843
module.basic_model.model.7.0.weight,0.30000000000000004,69.28,88.86,1.3024982916035108,0.18399999999999528,2.212000000000003,29.860229138907037,0.34114381670951843
module.basic_model.model.7.0.weight,0.35000000000000003,68.536,88.31,1.3402941111029514,0.17800000000000038,2.070000000000005,30.32421156601961,0.34114381670951843
module.basic_model.model.7.0.weight,0.4,66.806,87.202,1.4496128690677499,0.13999999999999568,1.748000000000005,32.6180579843844,0.34114381670951843
module.basic_model.model.7.0.weight,0.45,64.142,85.206,1.6136038472693632,0.14800000000000368,1.4820000000000055,34.18911520273966,0.34114381670951843
module.basic_model.model.7.0.weight,0.5,60.711999999999996,82.92399999999999,1.8246223307616873,0.08799999999999919,1.195999999999997,36.556263354369236,0.34114381670951843
module.basic_model.model.7.0.weight,0.55,58.245999999999995,81.008,2.012294167215366,0.07200000000000539,1.0140000000000038,38.592379933660446,0.34114381670951843
module.basic_model.model.7.0.weight,0.6000000000000001,55.052,78.534,2.2279585121689336,0.06199999999999539,0.9159999999999946,39.83625927569382,0.34114381670951843
module.basic_model.model.7.0.weight,0.65,51.56,75.582,2.465407651430204,0.056000000000000494,0.8299999999999974,38.934746235818785,0.34114381670951843
module.basic_model.model.7.0.weight,0.7000000000000001,44.798,69.42999999999999,2.973366144522603,0.039999999999995595,0.6079999999999974,40.09575683950078,0.34114381670951843
module.basic_model.model.7.0.weight,0.75,36.426,60.416000000000004,3.6623829380488164,0.021999999999999797,0.45600000000000085,38.01777588947413,0.34114381670951843
module.basic_model.model.7.0.weight,0.8,27.918,50.532,4.51479613376747,0.0380000000000047,0.38399999999999546,38.32271521013665,0.34114381670951843
module.basic_model.model.7.0.weight,0.8500000000000001,23.944,45.486000000000004,4.87579418639685,0.017999999999995797,0.36800000000000166,34.13767596932457,0.34114381670951843
module.basic_model.model.7.0.weight,0.9,10.009999999999996,22.909999999999997,7.170873842480388,0.017999999999995797,0.18399999999999528,27.313416079535205,0.34114381670951843
module.basic_model.model.7.3.weight,0.0,69.57,89.072,1.2836479661331996,0.20599999999999508,2.288000000000001,28.75779735347968,0.2702777087688446
module.basic_model.model.7.3.weight,0.05,69.57,89.072,1.2836479661331996,0.18799999999999928,2.2660000000000013,28.750868411683467,0.2702777087688446
