parameter,sparsity,top1,top5,loss,variance
module.layer3.2.conv3.weight,0.8,92.12,99.74,0.27895663231611245,0.0006500333547592163
module.layer3.2.conv3.weight,0.8500000000000001,92.12,99.74,0.2805967003107071,0.0006500333547592163
module.layer3.2.conv3.weight,0.9,92.12,99.74,0.27130979895591734,0.0006500333547592163
module.layer3.3.conv1.weight,0.0,92.12,99.74,0.2723085802048445,0.0007941141375340521
module.layer3.3.conv1.weight,0.05,92.12,99.74,0.2765955794602633,0.0007941141375340521
module.layer3.3.conv1.weight,0.1,92.12,99.74,0.2847982633858919,0.0007941141375340521
module.layer3.3.conv1.weight,0.15000000000000002,92.12,99.74,0.27966419793665404,0.0007941141375340521
module.layer3.3.conv1.weight,0.2,92.12,99.74,0.2854913011193276,0.0007941141375340521
module.layer3.3.conv1.weight,0.25,92.12,99.74,0.2753894723951818,0.0007941141375340521
module.layer3.3.conv1.weight,0.30000000000000004,92.12,99.74,0.28356703184545035,0.0007941141375340521
module.layer3.3.conv1.weight,0.35000000000000003,92.12,99.74,0.27121727392077444,0.0007941141375340521
module.layer3.3.conv1.weight,0.4,92.12,99.74,0.2804311748594046,0.0007941141375340521
module.layer3.3.conv1.weight,0.45,92.12,99.74,0.2814997110515832,0.0007941141375340521
module.layer3.3.conv1.weight,0.5,92.12,99.74,0.27454682476818554,0.0007941141375340521
module.layer3.3.conv1.weight,0.55,92.12,99.74,0.2728887274861336,0.0007941141375340521
module.layer3.3.conv1.weight,0.6000000000000001,92.12,99.74,0.27821223363280295,0.0007941141375340521
module.layer3.3.conv1.weight,0.65,92.12,99.74,0.2775775253772735,0.0007941141375340521
module.layer3.3.conv1.weight,0.7000000000000001,92.12,99.74,0.27194343060255055,0.0007941141375340521
module.layer3.3.conv1.weight,0.75,92.12,99.74,0.2739396024495364,0.0007941141375340521
module.layer3.3.conv1.weight,0.8,92.09,99.74,0.2718143854290247,0.0007941141375340521
module.layer3.3.conv1.weight,0.8500000000000001,92.07,99.74,0.2757653929293155,0.0007941141375340521
module.layer3.3.conv1.weight,0.9,92.08,99.74,0.2733112059533597,0.0007941141375340521
module.layer3.3.conv2.weight,0.0,92.12,99.74,0.279866898059845,0.0005573371308855712
module.layer3.3.conv2.weight,0.05,92.12,99.74,0.28371158093214033,0.0005573371308855712
module.layer3.3.conv2.weight,0.1,92.12,99.74,0.2804755158722401,0.0005573371308855712
module.layer3.3.conv2.weight,0.15000000000000002,92.12,99.74,0.2733504693955183,0.0005573371308855712
module.layer3.3.conv2.weight,0.2,92.12,99.74,0.2727921482175589,0.0005573371308855712
module.layer3.3.conv2.weight,0.25,92.12,99.74,0.27662684395909304,0.0005573371308855712
module.layer3.3.conv2.weight,0.30000000000000004,92.12,99.74,0.27773987278342244,0.0005573371308855712
module.layer3.3.conv2.weight,0.35000000000000003,92.12,99.74,0.2752685714513064,0.0005573371308855712
module.layer3.3.conv2.weight,0.4,92.12,99.74,0.27230515442788594,0.0005573371308855712
module.layer3.3.conv2.weight,0.45,92.12,99.74,0.2752392202615738,0.0005573371308855712
module.layer3.3.conv2.weight,0.5,92.12,99.74,0.2704624515026808,0.0005573371308855712
module.layer3.3.conv2.weight,0.55,92.12,99.74,0.2768278934061527,0.0005573371308855712
module.layer3.3.conv2.weight,0.6000000000000001,92.12,99.74,0.27714545130729673,0.0005573371308855712
module.layer3.3.conv2.weight,0.65,92.12,99.74,0.2708601616322994,0.0005573371308855712
module.layer3.3.conv2.weight,0.7000000000000001,92.12,99.74,0.2726109642535448,0.0005573371308855712
module.layer3.3.conv2.weight,0.75,92.12,99.74,0.28085438646376126,0.0005573371308855712
module.layer3.3.conv2.weight,0.8,92.13,99.74,0.2774735048413277,0.0005573371308855712
module.layer3.3.conv2.weight,0.8500000000000001,92.12,99.74,0.27852627411484715,0.0005573371308855712
module.layer3.3.conv2.weight,0.9,92.11,99.74,0.2753433573991061,0.0005573371308855712
module.layer3.3.conv3.weight,0.0,92.12,99.74,0.28151472881436346,0.000589480681810528
module.layer3.3.conv3.weight,0.05,92.12,99.74,0.270914563536644,0.000589480681810528
module.layer3.3.conv3.weight,0.1,92.12,99.74,0.2824558299034835,0.000589480681810528
module.layer3.3.conv3.weight,0.15000000000000002,92.12,99.74,0.2783784806728363,0.000589480681810528
module.layer3.3.conv3.weight,0.2,92.12,99.74,0.2738529194146395,0.000589480681810528
module.layer3.3.conv3.weight,0.25,92.12,99.74,0.27406111061573024,0.000589480681810528
module.layer3.3.conv3.weight,0.30000000000000004,92.12,99.74,0.27845177315175523,0.000589480681810528
module.layer3.3.conv3.weight,0.35000000000000003,92.12,99.74,0.27762686610221854,0.000589480681810528
module.layer3.3.conv3.weight,0.4,92.12,99.74,0.2707625467330217,0.000589480681810528
module.layer3.3.conv3.weight,0.45,92.12,99.74,0.2730939731001854,0.000589480681810528
module.layer3.3.conv3.weight,0.5,92.12,99.74,0.2789640940725803,0.000589480681810528
module.layer3.3.conv3.weight,0.55,92.12,99.74,0.2740442223846913,0.000589480681810528
module.layer3.3.conv3.weight,0.6000000000000001,92.12,99.74,0.27208496183156966,0.000589480681810528
module.layer3.3.conv3.weight,0.65,92.12,99.74,0.2734672289341689,0.000589480681810528
module.layer3.3.conv3.weight,0.7000000000000001,92.12,99.74,0.2778483904898167,0.000589480681810528
module.layer3.3.conv3.weight,0.75,92.12,99.74,0.2751402512192726,0.000589480681810528
module.layer3.3.conv3.weight,0.8,92.12,99.74,0.2720827508717774,0.000589480681810528
module.layer3.3.conv3.weight,0.8500000000000001,92.12,99.74,0.28715049140155324,0.000589480681810528
module.layer3.3.conv3.weight,0.9,92.12,99.74,0.27209894694387904,0.000589480681810528
module.layer3.4.conv1.weight,0.0,92.12,99.74,0.2715401079505683,0.0006673805764876306
module.layer3.4.conv1.weight,0.05,92.12,99.74,0.2738506440073251,0.0006673805764876306
module.layer3.4.conv1.weight,0.1,92.12,99.74,0.2706276610493661,0.0006673805764876306
module.layer3.4.conv1.weight,0.15000000000000002,92.12,99.74,0.2769560724496841,0.0006673805764876306
module.layer3.4.conv1.weight,0.2,92.12,99.74,0.2871811889111995,0.0006673805764876306
module.layer3.4.conv1.weight,0.25,92.12,99.74,0.2720034051686526,0.0006673805764876306
